,Unnamed: 0,Region,Division,State,County,Population,Combined Key,jan_cases,jan_rate,feb_cases,feb_rate,mar_cases,mar_rate,apr_cases,apr_rate,may_cases,may_rate,jun_cases,jun_rate,jul_cases,jul_rate,aug_cases,aug_rate,sep_cases,sep_rate,oct_cases,oct_rate,nov_cases,nov_rate,dec_cases,dec_rate,total,total rate
0,2313,3,5,South Carolina,Abbeville,24299,"Abbeville, South Carolina, US",303,0.012469648956747192,573,0.023581217334046667,388,0.015967735297748878,193,0.007942713691921479,130,0.0053500144038849335,38,0.001563850364212519,2,8.230791390592206e-05,46,0.0018930820198362073,374,0.015391579900407425,604,0.02485698999958846,220,0.009053870529651425,121,0.004979628791308284,2992,0.1231326392032594
1,1111,3,7,Louisiana,Acadia,57288,"Acadia, Louisiana, US",1053,0.018380812735651446,741,0.012934645999162128,269,0.00469557324396034,190,0.0033165758972210587,199,0.003473676860773635,188,0.0032816645719871526,141,0.0024612484289903646,588,0.010263929618768328,2116,0.03693618209747242,753,0.013144113950565563,237,0.004136992040217846,169,0.002950006982265047,6644,0.11597542242703533
2,2798,3,5,Virginia,Accomack,33246,"Accomack, Virginia, US",352,0.010587739878481621,656,0.019731697046261203,236,0.00709859832761836,109,0.0032785899055525476,101,0.0030379594537688743,47,0.0014137039042290802,14,0.00042110329062142816,56,0.0016844131624857127,421,0.012663177525115803,448,0.013475305299885701,298,0.008963484328941828,127,0.0038200084220658126,2865,0.08617578054502797
3,549,4,8,Idaho,Ada,511931,"Ada, Idaho, US",12121,0.023677018973260067,6358,0.01241964249088256,2179,0.004256432995852957,2480,0.004844402858979042,2331,0.004553348009790382,1265,0.0024710361357292293,746,0.0014572276341928894,1705,0.0033305269655480915,5733,0.011198774834889859,10823,0.021141521025294423,9633,0.01881698900828432,4075,0.007960057117072417,59449,0.11612697804977624
4,787,2,4,Iowa,Adair,7541,"Adair, Iowa, US",166,0.022012995623922556,97,0.012863015515183663,101,0.013393449144675773,29,0.003845643813817796,23,0.003049993369579631,12,0.0015913008884763293,4,0.0005304336294921098,25,0.003315210184325686,26,0.0034478185916987135,62,0.008221721257127702,73,0.009680413738231005,120,0.015913008884763293,738,0.09786500464129426
5,991,3,6,Kentucky,Adair,18932,"Adair, Kentucky, US",440,0.023241073315022183,242,0.012782590323262202,145,0.00765899006972322,192,0.010141559264736952,66,0.0034861609972533275,103,0.005440523980562011,9,0.0004753855905345447,106,0.005598985844073526,385,0.02033593915064441,467,0.02466723008662582,456,0.024086203253750264,308,0.01626875132051553,2919,0.154183393196704
6,2128,3,7,Oklahoma,Adair,19414,"Adair, Oklahoma, US",629,0.03239929947460595,1002,0.05161223859070774,224,0.011538065313691151,55,0.002833007108272381,19,0.0009786751828577316,18,0.0009271659627073246,38,0.001957350365715463,242,0.012465231276398476,842,0.043370763366642626,419,0.0215823632430205,149,0.0076748738024106315,142,0.007314309261357783,3779,0.19465334294838776
7,243,4,8,Colorado,Adams,522140,"Adams, Colorado, US",8945,0.01713142069176849,4788,0.00916995441835523,2607,0.004992913777913969,2911,0.005575133106063508,4966,0.009510859156548052,2604,0.00498716819243881,696,0.0013329758302371012,1624,0.0031102769372199027,4555,0.008723713946451144,4340,0.008311946987398016,6172,0.011820584517562339,8780,0.016815413490634697,52988,0.10148236105259126
8,550,4,8,Idaho,Adams,4625,"Adams, Idaho, US",147,0.031783783783783784,51,0.011027027027027026,19,0.0041081081081081085,3,0.0006486486486486486,3,0.0006486486486486486,5,0.001081081081081081,2,0.00043243243243243243,15,0.003243243243243243,36,0.007783783783783783,63,0.013621621621621621,72,0.015567567567567567,21,0.00454054054054054,437,0.09448648648648648
9,593,2,3,Illinois,Adams,64954,"Adams, Illinois, US",1639,0.025233241986636696,1240,0.019090433229670228,289,0.0044493025833666905,81,0.0012470363641962003,238,0.003664131539243157,290,0.004464698094035779,205,0.003156079687163223,931,0.01433322043292176,2002,0.030821812359515966,1109,0.017073621332019583,505,0.007774732887889891,1062,0.016350032330572407,9591,0.1476583428272316
10,695,2,3,Indiana,Adams,35961,"Adams, Indiana, US",800,0.022246322404827452,443,0.0123189010316732,147,0.0040877617418870445,103,0.0028642140096215344,59,0.0016406662773560245,48,0.001334779344289647,12,0.00033369483607241176,96,0.002669558688579294,553,0.015377770362336975,463,0.012875059091793888,383,0.010650426851311142,427,0.011873974583576653,3534,0.09827312922332528
11,788,2,4,Iowa,Adams,3641,"Adams, Iowa, US",95,0.026091733040373523,43,0.01180994232353749,9,0.0024718483932985444,3,0.0008239494644328481,16,0.004394397143641857,7,0.0019225487503433123,4,0.0010985992859104642,2,0.0005492996429552321,23,0.006316945893985169,82,0.022521285361164517,64,0.017577588574567427,67,0.018401538039000274,415,0.11397967591321066
12,1398,3,6,Mississippi,Adams,28742,"Adams, Mississippi, US",360,0.012525224410270683,410,0.014264838911697168,126,0.00438382854359474,86,0.002992136942453552,138,0.004801336023937095,431,0.014995477002296292,128,0.004453413123651799,283,0.009846218078073898,573,0.019935982186347505,480,0.016700299213694245,168,0.0058451047247929854,142,0.004940505184051214,3325,0.11568436434486118
13,1651,2,4,Nebraska,Adams,31027,"Adams, Nebraska, US",567,0.018274406162374707,330,0.010635897766461469,84,0.0027073194314629193,113,0.003641989235182261,81,0.002610629451767815,88,0.002836239404389725,0,0.0,0,0.0,0,0.0,723,0.02330228510652013,214,0.006897218551584104,546,0.017597576304508977,2746,0.0885035614142521
