Region,Division,State,County,Population,Combined Key
4,8,Arizona,Gila,53589,"Gila, Arizona, US"
4,8,Arizona,Graham,39050,"Graham, Arizona, US"
4,8,Arizona,Greenlee,9404,"Greenlee, Arizona, US"
4,8,Arizona,La Paz,16408,"La Paz, Arizona, US"
4,8,Arizona,Maricopa,4496588,"Maricopa, Arizona, US"
4,8,Arizona,Mohave,217692,"Mohave, Arizona, US"
4,8,Arizona,Navajo,108147,"Navajo, Arizona, US"
4,8,Arizona,Pima,1052030,"Pima, Arizona, US"
4,8,Arizona,Pinal,449557,"Pinal, Arizona, US"
4,8,Arizona,Santa Cruz,47883,"Santa Cruz, Arizona, US"
4,8,Arizona,Yavapai,242253,"Yavapai, Arizona, US"
4,8,Arizona,Yuma,206990,"Yuma, Arizona, US"
3,7,Arkansas,Arkansas,16722,"Arkansas, Arkansas, US"
3,7,Arkansas,Ashley,18674,"Ashley, Arkansas, US"
3,7,Arkansas,Baxter,42144,"Baxter, Arkansas, US"
3,7,Arkansas,Benton,293692,"Benton, Arkansas, US"
3,7,Arkansas,Boone,37830,"Boone, Arkansas, US"
3,7,Arkansas,Bradley,10408,"Bradley, Arkansas, US"
3,7,Arkansas,Calhoun,4741,"Calhoun, Arkansas, US"
3,7,Arkansas,Carroll,28435,"Carroll, Arkansas, US"
3,7,Arkansas,Chicot,10019,"Chicot, Arkansas, US"
3,7,Arkansas,Clark,21321,"Clark, Arkansas, US"
3,7,Arkansas,Clay,14350,"Clay, Arkansas, US"
3,7,Arkansas,Cleburne,25015,"Cleburne, Arkansas, US"
3,7,Arkansas,Cleveland,7514,"Cleveland, Arkansas, US"
3,7,Arkansas,Columbia,22672,"Columbia, Arkansas, US"
3,7,Arkansas,Conway,20873,"Conway, Arkansas, US"
3,7,Arkansas,Craighead,112218,"Craighead, Arkansas, US"
3,7,Arkansas,Crawford,60378,"Crawford, Arkansas, US"
3,7,Arkansas,Crittenden,47525,"Crittenden, Arkansas, US"
3,7,Arkansas,Cross,16681,"Cross, Arkansas, US"
3,7,Arkansas,Dallas,6308,"Dallas, Arkansas, US"
3,7,Arkansas,Desha,11090,"Desha, Arkansas, US"
3,7,Arkansas,Drew,17110,"Drew, Arkansas, US"
3,7,Arkansas,Faulkner,125106,"Faulkner, Arkansas, US"
3,7,Arkansas,Franklin,17173,"Franklin, Arkansas, US"
3,7,Arkansas,Fulton,12145,"Fulton, Arkansas, US"
3,7,Arkansas,Garland,100330,"Garland, Arkansas, US"
3,7,Arkansas,Grant,18090,"Grant, Arkansas, US"
3,7,Arkansas,Greene,46317,"Greene, Arkansas, US"
3,7,Arkansas,Hempstead,19694,"Hempstead, Arkansas, US"
3,7,Arkansas,Hot Spring,33148,"Hot Spring, Arkansas, US"
3,7,Arkansas,Howard,12698,"Howard, Arkansas, US"
3,7,Arkansas,Independence,37723,"Independence, Arkansas, US"
3,7,Arkansas,Izard,13911,"Izard, Arkansas, US"
3,7,Arkansas,Jackson,16811,"Jackson, Arkansas, US"
3,7,Arkansas,Jefferson,65861,"Jefferson, Arkansas, US"
3,7,Arkansas,Johnson,25845,"Johnson, Arkansas, US"
3,7,Arkansas,Lafayette,6163,"Lafayette, Arkansas, US"
3,7,Arkansas,Lawrence,16292,"Lawrence, Arkansas, US"
3,7,Arkansas,Lee,8619,"Lee, Arkansas, US"
3,7,Arkansas,Lincoln,13037,"Lincoln, Arkansas, US"
3,7,Arkansas,Little River,11944,"Little River, Arkansas, US"
3,7,Arkansas,Logan,21215,"Logan, Arkansas, US"
3,7,Arkansas,Lonoke,74722,"Lonoke, Arkansas, US"
3,7,Arkansas,Madison,16960,"Madison, Arkansas, US"
3,7,Arkansas,Marion,16978,"Marion, Arkansas, US"
3,7,Arkansas,Miller,42649,"Miller, Arkansas, US"
3,7,Arkansas,Mississippi,39661,"Mississippi, Arkansas, US"
3,7,Arkansas,Monroe,6683,"Monroe, Arkansas, US"
3,7,Arkansas,Montgomery,8611,"Montgomery, Arkansas, US"
3,7,Arkansas,Nevada,8187,"Nevada, Arkansas, US"
3,7,Arkansas,Newton,7204,"Newton, Arkansas, US"
3,7,Arkansas,Ouachita,22306,"Ouachita, Arkansas, US"
3,7,Arkansas,Perry,9964,"Perry, Arkansas, US"
3,7,Arkansas,Phillips,15906,"Phillips, Arkansas, US"
3,7,Arkansas,Pike,10066,"Pike, Arkansas, US"
3,7,Arkansas,Poinsett,22660,"Poinsett, Arkansas, US"
3,7,Arkansas,Polk,19353,"Polk, Arkansas, US"
3,7,Arkansas,Pope,63789,"Pope, Arkansas, US"
3,7,Arkansas,Prairie,8135,"Prairie, Arkansas, US"
3,7,Arkansas,Pulaski,397821,"Pulaski, Arkansas, US"
3,7,Arkansas,Randolph,18865,"Randolph, Arkansas, US"
3,7,Arkansas,St. Francis,22739,"St. Francis, Arkansas, US"
3,7,Arkansas,Saline,125233,"Saline, Arkansas, US"
3,7,Arkansas,Scott,9822,"Scott, Arkansas, US"
3,7,Arkansas,Searcy,7880,"Searcy, Arkansas, US"
3,7,Arkansas,Sebastian,128400,"Sebastian, Arkansas, US"
3,7,Arkansas,Sevier,15783,"Sevier, Arkansas, US"
3,7,Arkansas,Sharp,17622,"Sharp, Arkansas, US"
3,7,Arkansas,Stone,12481,"Stone, Arkansas, US"
3,7,Arkansas,Union,38340,"Union, Arkansas, US"
3,7,Arkansas,Van Buren,15694,"Van Buren, Arkansas, US"
3,7,Arkansas,Washington,250057,"Washington, Arkansas, US"
3,7,Arkansas,White,77207,"White, Arkansas, US"
3,7,Arkansas,Woodruff,6116,"Woodruff, Arkansas, US"
3,7,Arkansas,Yell,20155,"Yell, Arkansas, US"
4,9,California,Alameda,1648556,"Alameda, California, US"
4,9,California,Alpine,1235,"Alpine, California, US"
4,9,California,Amador,41259,"Amador, California, US"
4,9,California,Butte,208309,"Butte, California, US"
4,9,California,Calaveras,46221,"Calaveras, California, US"
4,9,California,Colusa,21917,"Colusa, California, US"
4,9,California,Contra Costa,1161413,"Contra Costa, California, US"
4,9,California,Del Norte,28100,"Del Norte, California, US"
4,9,California,El Dorado,193221,"El Dorado, California, US"
4,9,California,Fresno,1013581,"Fresno, California, US"
4,9,California,Glenn,28805,"Glenn, California, US"
4,9,California,Humboldt,136310,"Humboldt, California, US"
4,9,California,Imperial,179851,"Imperial, California, US"
4,9,California,Inyo,18970,"Inyo, California, US"
4,9,California,Kern,917673,"Kern, California, US"
4,9,California,Kings,153443,"Kings, California, US"
4,9,California,Lake,68766,"Lake, California, US"
4,9,California,Lassen,33159,"Lassen, California, US"
4,9,California,Los Angeles,9829544,"Los Angeles, California, US"
4,9,California,Madera,159410,"Madera, California, US"
4,9,California,Marin,260206,"Marin, California, US"
4,9,California,Mariposa,17147,"Mariposa, California, US"
4,9,California,Mendocino,91305,"Mendocino, California, US"
4,9,California,Merced,286461,"Merced, California, US"
4,9,California,Modoc,8661,"Modoc, California, US"
4,9,California,Mono,13247,"Mono, California, US"
4,9,California,Monterey,437325,"Monterey, California, US"
4,9,California,Napa,136207,"Napa, California, US"
4,9,California,Nevada,103487,"Nevada, California, US"
4,9,California,Orange,3167809,"Orange, California, US"
4,9,California,Placer,412300,"Placer, California, US"
4,9,California,Plumas,19915,"Plumas, California, US"
4,9,California,Riverside,2458395,"Riverside, California, US"
4,9,California,Sacramento,1588921,"Sacramento, California, US"
4,9,California,San Benito,66677,"San Benito, California, US"
